concept_id,domain,section,concept_type,name,description,aliases,details_md,details_json,source_file,source_path,version
fiis.carteira.valor_posicao,fiis,carteira,field,valor_posicao,Valor total da posição.,[],,,data/concepts/concepts-fiis.yaml,sections.carteira.concepts[4].valor_posicao,dev-20251030
fiis.dividendos.acumulados,fiis,dividendos,field,acumulados,"Somatórios de 3, 6 e 12 meses.",[],,,data/concepts/concepts-fiis.yaml,sections.dividendos.concepts[3].acumulados,dev-20251030
fiis.dividendos.data_com,fiis,dividendos,field,data_com,Determina quem tem direito ao dividendo.,[],,,data/concepts/concepts-fiis.yaml,sections.dividendos.concepts[2].data_com,dev-20251030
fiis.dividendos.data_pagamento,fiis,dividendos,field,data_pagamento,Data do recebimento.,[],,,data/concepts/concepts-fiis.yaml,sections.dividendos.concepts[1].data_pagamento,dev-20251030
fiis.dividendos.dividendo,fiis,dividendos,field,dividendo,Valor distribuído por cota.,[],,,data/concepts/concepts-fiis.yaml,sections.dividendos.concepts[0].dividendo,dev-20251030
fiis.dividendos.dy,fiis,dividendos,field,dy,Dividend Yield: dividendo anualizado sobre preço.,[],,,data/concepts/concepts-fiis.yaml,sections.dividendos.concepts[4].dy,dev-20251030
fiis.financials_snapshot.alavancagem,fiis,financials_snapshot,field,alavancagem,Indicadores de endividamento.,[],,,data/concepts/concepts-fiis.yaml,sections.financials_snapshot.concepts.estrutura_financeira[2].alavancagem,dev-20251030
fiis.financials_snapshot.caixa,fiis,financials_snapshot,field,caixa,Disponibilidades do fundo.,[],,,data/concepts/concepts-fiis.yaml,sections.financials_snapshot.concepts.estrutura_financeira[0].caixa,dev-20251030
fiis.financials_snapshot.cap_rate,fiis,financials_snapshot,field,cap_rate,Renda anual sobre valor da cota.,[],,,data/concepts/concepts-fiis.yaml,sections.financials_snapshot.concepts.valuation[4].cap_rate,dev-20251030
fiis.financials_snapshot.crescimento_dividendos,fiis,financials_snapshot,field,crescimento_dividendos,Crescimento dos dividendos em 12/24/36 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.financials_snapshot.concepts.crescimento[0].crescimento_dividendos,dev-20251030
fiis.financials_snapshot.crescimento_receita,fiis,financials_snapshot,field,crescimento_receita,Crescimento de receita ou patrimônio.,[],,,data/concepts/concepts-fiis.yaml,sections.financials_snapshot.concepts.crescimento[1].crescimento_receita,dev-20251030
fiis.financials_snapshot.dy,fiis,financials_snapshot,field,dy,Dividend Yield mensal e anual.,[],,,data/concepts/concepts-fiis.yaml,sections.financials_snapshot.concepts.renda[0].dy,dev-20251030
fiis.financials_snapshot.enterprise_value,fiis,financials_snapshot,field,enterprise_value,Valor econômico considerando dívidas.,[],,,data/concepts/concepts-fiis.yaml,sections.financials_snapshot.concepts.valuation[1].enterprise_value,dev-20251030
fiis.financials_snapshot.market_cap,fiis,financials_snapshot,field,market_cap,Valor de mercado.,[],,,data/concepts/concepts-fiis.yaml,sections.financials_snapshot.concepts.valuation[0].market_cap,dev-20251030
fiis.financials_snapshot.passivos,fiis,financials_snapshot,field,passivos,Dívidas e obrigações.,[],,,data/concepts/concepts-fiis.yaml,sections.financials_snapshot.concepts.estrutura_financeira[1].passivos,dev-20251030
fiis.financials_snapshot.payout,fiis,financials_snapshot,field,payout,Percentual de lucro distribuído.,[],,,data/concepts/concepts-fiis.yaml,sections.financials_snapshot.concepts.renda[2].payout,dev-20251030
fiis.financials_snapshot.pvp,fiis,financials_snapshot,field,pvp,Preço dividido pelo valor patrimonial.,[],,,data/concepts/concepts-fiis.yaml,sections.financials_snapshot.concepts.valuation[3].pvp,dev-20251030
fiis.financials_snapshot.reservas,fiis,financials_snapshot,field,reservas,Reservas de dividendos.,[],,,data/concepts/concepts-fiis.yaml,sections.financials_snapshot.concepts.estrutura_financeira[3].reservas,dev-20251030
fiis.financials_snapshot.soma_12m,fiis,financials_snapshot,field,soma_12m,Total de proventos em 12 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.financials_snapshot.concepts.renda[1].soma_12m,dev-20251030
fiis.financials_snapshot.vpa,fiis,financials_snapshot,field,vpa,Valor patrimonial por cota.,[],,,data/concepts/concepts-fiis.yaml,sections.financials_snapshot.concepts.valuation[2].vpa,dev-20251030
fiis.identidade_classificacao.cnpj,fiis,identidade_classificacao,field,cnpj,Registro legal do FII e do administrador.,[],,,data/concepts/concepts-fiis.yaml,sections.identidade_classificacao.concepts[1].cnpj,dev-20251030
fiis.identidade_classificacao.gestao,fiis,identidade_classificacao,field,gestao,Gestão ativa ou passiva.,[],,,data/concepts/concepts-fiis.yaml,sections.identidade_classificacao.concepts[4].gestao,dev-20251030
fiis.identidade_classificacao.governanca,fiis,identidade_classificacao,field,governanca,"Administrador, gestor, custodiante e site oficial.",[],,,data/concepts/concepts-fiis.yaml,sections.identidade_classificacao.concepts[8].governanca,dev-20251030
fiis.identidade_classificacao.ipo,fiis,identidade_classificacao,field,ipo,Data de início das negociações.,[],,,data/concepts/concepts-fiis.yaml,sections.identidade_classificacao.concepts[7].ipo,dev-20251030
fiis.identidade_classificacao.isin,fiis,identidade_classificacao,field,isin,Código internacional de negociação.,[],,,data/concepts/concepts-fiis.yaml,sections.identidade_classificacao.concepts[6].isin,dev-20251030
fiis.identidade_classificacao.nomes,fiis,identidade_classificacao,field,nomes,Nome de pregão e nome de exibição usados na B3.,[],,,data/concepts/concepts-fiis.yaml,sections.identidade_classificacao.concepts[2].nomes,dev-20251030
fiis.identidade_classificacao.participacao_indices,fiis,identidade_classificacao,field,participacao_indices,Participação e pesos no IFIX/IFIL.,[],,,data/concepts/concepts-fiis.yaml,sections.identidade_classificacao.concepts[9].participacao_indices,dev-20251030
fiis.identidade_classificacao.publico_alvo,fiis,identidade_classificacao,field,publico_alvo,"Investidores em geral, qualificados etc.",[],,,data/concepts/concepts-fiis.yaml,sections.identidade_classificacao.concepts[5].publico_alvo,dev-20251030
fiis.identidade_classificacao.setor_tipo,fiis,identidade_classificacao,field,setor_tipo,"Classificação por setor, subsetor e tipo (tijolo, papel, híbrido, desenvolvimento).",[],,,data/concepts/concepts-fiis.yaml,sections.identidade_classificacao.concepts[3].setor_tipo,dev-20251030
fiis.identidade_classificacao.ticker,fiis,identidade_classificacao,field,ticker,"Código oficial do fundo, ex.: HGLG11.",[],,,data/concepts/concepts-fiis.yaml,sections.identidade_classificacao.concepts[0].ticker,dev-20251030
fiis.imoveis.area_total,fiis,imoveis,field,area_total,Área total ocupada.,[],,,data/concepts/concepts-fiis.yaml,sections.imoveis.concepts[3].area_total,dev-20251030
fiis.imoveis.classe,fiis,imoveis,field,classe,"Tipo (logístico, corporativo, shopping etc.).",[],,,data/concepts/concepts-fiis.yaml,sections.imoveis.concepts[1].classe,dev-20251030
fiis.imoveis.inadimplencia,fiis,imoveis,field,inadimplencia,Atrasos no pagamento.,[],,,data/concepts/concepts-fiis.yaml,sections.imoveis.concepts[6].inadimplencia,dev-20251030
fiis.imoveis.localizacao,fiis,imoveis,field,localizacao,Cidade e estado.,[],,,data/concepts/concepts-fiis.yaml,sections.imoveis.concepts[2].localizacao,dev-20251030
fiis.imoveis.nome_ativo,fiis,imoveis,field,nome_ativo,Nome do imóvel/ativo.,[],,,data/concepts/concepts-fiis.yaml,sections.imoveis.concepts[0].nome_ativo,dev-20251030
fiis.imoveis.status,fiis,imoveis,field,status,"Ativo, Inativo, etc.",[],,,data/concepts/concepts-fiis.yaml,sections.imoveis.concepts[7].status,dev-20251030
fiis.imoveis.unidades,fiis,imoveis,field,unidades,Número de unidades.,[],,,data/concepts/concepts-fiis.yaml,sections.imoveis.concepts[4].unidades,dev-20251030
fiis.imoveis.vacancia,fiis,imoveis,field,vacancia,Vacância física e financeira.,[],,,data/concepts/concepts-fiis.yaml,sections.imoveis.concepts[5].vacancia,dev-20251030
fiis.macro.cdi,fiis,macro,field,cdi,Taxa DI.,[],,,data/concepts/concepts-fiis.yaml,sections.macro.concepts.macroindicadores[0].cdi,dev-20251030
fiis.macro.dolar,fiis,macro,field,dolar,"Compra, venda e variação.",[],,,data/concepts/concepts-fiis.yaml,sections.macro.concepts.moedas[0].dolar,dev-20251030
fiis.macro.euro,fiis,macro,field,euro,"Compra, venda e variação.",[],,,data/concepts/concepts-fiis.yaml,sections.macro.concepts.moedas[1].euro,dev-20251030
fiis.macro.ibov,fiis,macro,field,ibov,Pontos e variação do Ibovespa.,[],,,data/concepts/concepts-fiis.yaml,sections.macro.concepts.indices_b3[0].ibov,dev-20251030
fiis.macro.ifil,fiis,macro,field,ifil,Pontos e variação do IFIL.,[],,,data/concepts/concepts-fiis.yaml,sections.macro.concepts.indices_b3[2].ifil,dev-20251030
fiis.macro.ifix,fiis,macro,field,ifix,Pontos e variação do IFIX.,[],,,data/concepts/concepts-fiis.yaml,sections.macro.concepts.indices_b3[1].ifix,dev-20251030
fiis.macro.igpm,fiis,macro,field,igpm,Inflação medida pelo IGPM.,[],,,data/concepts/concepts-fiis.yaml,sections.macro.concepts.macroindicadores[3].igpm,dev-20251030
fiis.macro.inpc,fiis,macro,field,inpc,Inflação medida pelo INPC.,[],,,data/concepts/concepts-fiis.yaml,sections.macro.concepts.macroindicadores[4].inpc,dev-20251030
fiis.macro.ipca,fiis,macro,field,ipca,Inflação medida pelo IPCA.,[],,,data/concepts/concepts-fiis.yaml,sections.macro.concepts.macroindicadores[2].ipca,dev-20251030
fiis.macro.selic,fiis,macro,field,selic,Taxa básica de juros.,[],,,data/concepts/concepts-fiis.yaml,sections.macro.concepts.macroindicadores[1].selic,dev-20251030
fiis.noticias.data_publicacao,fiis,noticias,field,data_publicacao,Data da notícia.,[],,,data/concepts/concepts-fiis.yaml,sections.noticias.concepts[4].data_publicacao,dev-20251030
fiis.noticias.fonte,fiis,noticias,field,fonte,Origem da notícia.,[],,,data/concepts/concepts-fiis.yaml,sections.noticias.concepts[0].fonte,dev-20251030
fiis.noticias.resumo,fiis,noticias,field,resumo,Descrição curta do conteúdo.,[],,,data/concepts/concepts-fiis.yaml,sections.noticias.concepts[2].resumo,dev-20251030
fiis.noticias.tags,fiis,noticias,field,tags,Classificação do tema.,[],,,data/concepts/concepts-fiis.yaml,sections.noticias.concepts[1].tags,dev-20251030
fiis.noticias.tickers_mencionados,fiis,noticias,field,tickers_mencionados,FIIs impactados.,[],,,data/concepts/concepts-fiis.yaml,sections.noticias.concepts[3].tickers_mencionados,dev-20251030
fiis.precos.ohlc,fiis,precos,field,ohlc,"Abertura, máxima e mínima do dia.",[],,,data/concepts/concepts-fiis.yaml,sections.precos.concepts[1].ohlc,dev-20251030
fiis.precos.preco_fechamento,fiis,precos,field,preco_fechamento,Preço de fechamento ajustado da cota.,[],,,data/concepts/concepts-fiis.yaml,sections.precos.concepts[0].preco_fechamento,dev-20251030
fiis.precos.serie_historica,fiis,precos,field,serie_historica,Evolução da cota ao longo do tempo.,[],,,data/concepts/concepts-fiis.yaml,sections.precos.concepts[3].serie_historica,dev-20251030
fiis.precos.variacao,fiis,precos,field,variacao,Variação diária em percentual e valor.,[],,,data/concepts/concepts-fiis.yaml,sections.precos.concepts[2].variacao,dev-20251030
fiis.processos.fatos_principais,fiis,processos,field,fatos_principais,Resumo objetivo do caso.,[],,,data/concepts/concepts-fiis.yaml,sections.processos.concepts[5].fatos_principais,dev-20251030
fiis.processos.impacto_potencial,fiis,processos,field,impacto_potencial,Possível efeito no fundo.,[],,,data/concepts/concepts-fiis.yaml,sections.processos.concepts[6].impacto_potencial,dev-20251030
fiis.processos.instancia,fiis,processos,field,instancia,Grau do processo.,[],,,data/concepts/concepts-fiis.yaml,sections.processos.concepts[1].instancia,dev-20251030
fiis.processos.julgamento,fiis,processos,field,julgamento,Fase atual.,[],,,data/concepts/concepts-fiis.yaml,sections.processos.concepts[2].julgamento,dev-20251030
fiis.processos.numero_processo,fiis,processos,field,numero_processo,Identificador judicial.,[],,,data/concepts/concepts-fiis.yaml,sections.processos.concepts[0].numero_processo,dev-20251030
fiis.processos.risco_perda,fiis,processos,field,risco_perda,Classificação do risco.,[],,,data/concepts/concepts-fiis.yaml,sections.processos.concepts[4].risco_perda,dev-20251030
fiis.processos.valor_causa,fiis,processos,field,valor_causa,Montante envolvido.,[],,,data/concepts/concepts-fiis.yaml,sections.processos.concepts[3].valor_causa,dev-20251030
fiis.rankings.movimentos,fiis,rankings,field,movimentos,Subidas e quedas na posição do FII ao longo do tempo.,[],,,data/concepts/concepts-fiis.yaml,sections.rankings.concepts[1].movimentos,dev-20251030
fiis.rankings.posicao,fiis,rankings,field,posicao,"Posição atual do FII em diferentes rankings (usuários, SIRIOS, IFIX, IFIL).",[],,,data/concepts/concepts-fiis.yaml,sections.rankings.concepts[0].posicao,dev-20251030
fiis.rankings.rankings_ifix_ifil,fiis,rankings,field,rankings_ifix_ifil,"Posição do FII nos índices IFIX e IFIL, inclusive entrada e saída em rebalanceamentos.",[],,,data/concepts/concepts-fiis.yaml,sections.rankings.concepts[2].rankings_ifix_ifil,dev-20251030
fiis.revenue_schedule.igpm,fiis,revenue_schedule,field,igpm,Receitas indexadas ao IGPM.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.indexadores[1].igpm,dev-20251030
fiis.revenue_schedule.incc,fiis,revenue_schedule,field,incc,Receitas indexadas ao INCC.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.indexadores[3].incc,dev-20251030
fiis.revenue_schedule.inpc,fiis,revenue_schedule,field,inpc,Receitas indexadas ao INPC.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.indexadores[2].inpc,dev-20251030
fiis.revenue_schedule.ipca,fiis,revenue_schedule,field,ipca,Receitas indexadas ao IPCA.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.indexadores[0].ipca,dev-20251030
fiis.revenue_schedule.janelas_padrao,fiis,revenue_schedule,field,janelas_padrao,"Faixas apuradas: 0–3m, 3–6m, 6–9m, 9–12m, 12–15m, 15–18m, 18–21m, 21–24m, 24–27m, 27–30m, 30–33m, 33–36m, acima de 36m e indeterminado.",[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.janelas_padrao[0],dev-20251030
fiis.revenue_schedule.revenue_due_0_3m_pct,fiis,revenue_schedule,field,revenue_due_0_3m_pct,Receitas com vencimento em 0–3 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[0].revenue_due_0_3m_pct,dev-20251030
fiis.revenue_schedule.revenue_due_12_15m_pct,fiis,revenue_schedule,field,revenue_due_12_15m_pct,Receitas com vencimento em 12–15 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[4].revenue_due_12_15m_pct,dev-20251030
fiis.revenue_schedule.revenue_due_15_18m_pct,fiis,revenue_schedule,field,revenue_due_15_18m_pct,Receitas com vencimento em 15–18 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[5].revenue_due_15_18m_pct,dev-20251030
fiis.revenue_schedule.revenue_due_18_21m_pct,fiis,revenue_schedule,field,revenue_due_18_21m_pct,Receitas com vencimento em 18–21 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[6].revenue_due_18_21m_pct,dev-20251030
fiis.revenue_schedule.revenue_due_21_24m_pct,fiis,revenue_schedule,field,revenue_due_21_24m_pct,Receitas com vencimento em 21–24 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[7].revenue_due_21_24m_pct,dev-20251030
fiis.revenue_schedule.revenue_due_24_27m_pct,fiis,revenue_schedule,field,revenue_due_24_27m_pct,Receitas com vencimento em 24–27 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[8].revenue_due_24_27m_pct,dev-20251030
fiis.revenue_schedule.revenue_due_27_30m_pct,fiis,revenue_schedule,field,revenue_due_27_30m_pct,Receitas com vencimento em 27–30 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[9].revenue_due_27_30m_pct,dev-20251030
fiis.revenue_schedule.revenue_due_30_33m_pct,fiis,revenue_schedule,field,revenue_due_30_33m_pct,Receitas com vencimento em 30–33 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[10].revenue_due_30_33m_pct,dev-20251030
fiis.revenue_schedule.revenue_due_33_36m_pct,fiis,revenue_schedule,field,revenue_due_33_36m_pct,Receitas com vencimento em 33–36 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[11].revenue_due_33_36m_pct,dev-20251030
fiis.revenue_schedule.revenue_due_3_6m_pct,fiis,revenue_schedule,field,revenue_due_3_6m_pct,Receitas com vencimento em 3–6 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[1].revenue_due_3_6m_pct,dev-20251030
fiis.revenue_schedule.revenue_due_6_9m_pct,fiis,revenue_schedule,field,revenue_due_6_9m_pct,Receitas com vencimento em 6–9 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[2].revenue_due_6_9m_pct,dev-20251030
fiis.revenue_schedule.revenue_due_9_12m_pct,fiis,revenue_schedule,field,revenue_due_9_12m_pct,Receitas com vencimento em 9–12 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[3].revenue_due_9_12m_pct,dev-20251030
fiis.revenue_schedule.revenue_due_over_36m_pct,fiis,revenue_schedule,field,revenue_due_over_36m_pct,Receitas com vencimento acima de 36 meses.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[12].revenue_due_over_36m_pct,dev-20251030
fiis.revenue_schedule.revenue_due_undetermined_pct,fiis,revenue_schedule,field,revenue_due_undetermined_pct,Receitas com vencimento indeterminado.,[],,,data/concepts/concepts-fiis.yaml,sections.revenue_schedule.concepts.buckets[13].revenue_due_undetermined_pct,dev-20251030
fiis.risco.beta,fiis,risco,field,beta,Sensibilidade em relação ao IFIX.,[],,,data/concepts/concepts-fiis.yaml,sections.risco.concepts[5].beta,dev-20251030
fiis.risco.jensen_alpha,fiis,risco,field,jensen_alpha,Retorno acima do esperado pelo CAPM.,[],,,data/concepts/concepts-fiis.yaml,sections.risco.concepts[4].jensen_alpha,dev-20251030
fiis.risco.max_drawdown,fiis,risco,field,max_drawdown,Maior queda acumulada.,[],,,data/concepts/concepts-fiis.yaml,sections.risco.concepts[7].max_drawdown,dev-20251030
fiis.risco.r2,fiis,risco,field,r2,Grau de explicação pelo índice de referência.,[],,,data/concepts/concepts-fiis.yaml,sections.risco.concepts[6].r2,dev-20251030
fiis.risco.sharpe,fiis,risco,field,sharpe,Retorno acima do CDI dividido pela volatilidade.,[],,,data/concepts/concepts-fiis.yaml,sections.risco.concepts[1].sharpe,dev-20251030
fiis.risco.sortino,fiis,risco,field,sortino,Sharpe que penaliza apenas quedas.,[],,,data/concepts/concepts-fiis.yaml,sections.risco.concepts[2].sortino,dev-20251030
fiis.risco.treynor,fiis,risco,field,treynor,Retorno excedente dividido pelo beta.,[],,,data/concepts/concepts-fiis.yaml,sections.risco.concepts[3].treynor,dev-20251030
fiis.risco.volatilidade,fiis,risco,field,volatilidade,Oscilação dos preços no tempo.,[],,,data/concepts/concepts-fiis.yaml,sections.risco.concepts[0].volatilidade,dev-20251030
macro.contexto_macro_e_tomada_de_decisao_em_fiis,macro,,concept,Contexto macro e tomada de decisão em FIIs,"O contexto macroeconômico influencia diretamente FIIs por meio de taxa de juros, inflação, atividade econômica e câmbio. Na SIRIOS, o papel da camada macro é dar referência, não fazer previsão: mostrar se um FII ou carteira está entregando retorno compatível com CDI, SELIC e inflação.","[""cenário macro"", ""macro e FIIs""]",,"{""related_entities"": [""history_b3_indexes"", ""history_market_indicators"", ""history_currency_rates"", ""fiis_financials_snapshot"", ""fiis_financials_risk""], ""typical_questions"": [""como os FIIs se comportaram nesse cenário de juros altos?"", ""meus dividendos estão ganhando da inflação?""]}",data/concepts/concepts-macro.yaml,concepts[4],dev-20251030
macro.inflacao_e_indexadores,macro,,concept,Inflação e indexadores,"Índices de inflação como IPCA, IGPM, INPC e IPCA-15 impactam diretamente contratos de aluguel, recebíveis imobiliários e indexação de receitas dos FIIs. Na SIRIOS, esses indicadores são usados para analisar a proteção do fluxo de caixa contra a inflação e a exposição de cada fundo a diferentes indexadores.","[""IPCA"", ""IGPM"", ""INPC"", ""índices de inflação""]",,"{""related_entities"": [""history_market_indicators"", ""fiis_financials_revenue_schedule""], ""typical_questions"": [""qual está sendo o IPCA acumulado?"", ""qual percentual da receita do fundo está indexado ao IPCA?""], ""typical_uses"": [""avaliar quais FIIs estão mais expostos ao IPCA ou IGPM"", ""comparar crescimento real de renda versus inflação""]}",data/concepts/concepts-macro.yaml,concepts[2],dev-20251030
macro.moedas_e_exposicao_cambial,macro,,concept,Moedas e exposição cambial,"As cotações de dólar e euro em relação ao real importam para fundos que possuem ativos dolarizados, contratos atrelados ao câmbio ou exposição indireta a moedas estrangeiras. A SIRIOS utiliza essas séries para dar contexto a movimentos de preço e risco em fundos sensíveis ao câmbio.","[""dólar"", ""euro"", ""câmbio""]",,"{""related_entities"": [""history_currency_rates"", ""history_market_indicators""], ""typical_questions"": [""como fechou o dólar ontem?"", ""esse fundo é muito exposto ao câmbio?""], ""typical_uses"": [""explicar movimentos de FIIs com contratos dolarizados"", ""avaliar sensibilidade da carteira a choques cambiais""]}",data/concepts/concepts-macro.yaml,concepts[3],dev-20251030
macro.taxas_de_juros_e_indicadores_de_renda_fixa,macro,,concept,Taxas de juros e indicadores de renda fixa,"CDI e SELIC são utilizados como proxies de ativo livre de risco e linha de base para comparar o retorno de FIIs e carteiras. Também servem como referência para cálculo de Sharpe, Treynor e outras métricas de risco.","[""CDI"", ""SELIC"", ""taxa livre de risco""]",,"{""related_entities"": [""history_market_indicators"", ""fiis_financials_risk"", ""fiis_financials_snapshot""], ""typical_questions"": [""qual foi o CDI no último mês?"", ""vale a pena esse FII em relação ao CDI atual?""], ""typical_uses"": [""comparar dividend yield com CDI/SELIC"", ""ajustar retorno pelo ativo livre de risco nas métricas de Sharpe/Treynor""]}",data/concepts/concepts-macro.yaml,concepts[1],dev-20251030
macro.indices_de_mercado_da_b3,macro,,concept,Índices de mercado da B3,"Índices como IBOV, IFIX e IFIL representam carteiras teóricas de ativos negociados na B3 e são usados como referência para avaliar o desempenho de FIIs e carteiras. No contexto da SIRIOS, esses índices ajudam a comparar retorno e risco dos fundos em relação ao mercado.","[""IBOV"", ""IFIX"", ""IFIL"", ""índices de referência""]",,"{""related_entities"": [""history_b3_indexes"", ""fiis_financials_risk"", ""fiis_financials_snapshot""], ""typical_questions"": [""quanto fechou o IFIX ontem?"", ""esse FII rendeu mais que o IFIX nos últimos 12 meses?""], ""typical_uses"": [""calcular beta e alfa de FIIs"", ""comparar retornos de fundos com o IFIX"", ""avaliar se a carteira acompanha ou não o mercado""]}",data/concepts/concepts-macro.yaml,concepts[0],dev-20251030
